# Time-averaged data for fix at2
# TimeStep f_mysf1[3] f_mysf2[3]
57300 12.8785 -12.9777
57400 11.934 -11.5907
57500 8.00564 -9.77585
57600 12.7826 -12.0915
57700 10.5908 -11.7178
57800 10.0806 -9.55168
57900 13.1154 -12.8487
58000 10.6237 -9.25266
58100 7.89739 -10.0246
58200 12.8358 -12.94
58300 10.7506 -11.6403
58400 9.90261 -7.83169
58500 11.6823 -12.5761
58600 12.3615 -10.5339
58700 8.35895 -10.1497
58800 13.1915 -12.2045
58900 10.8014 -12.4244
59000 9.71192 -8.59131
59100 11.9313 -12.8841
59200 12.3284 -10.1256
59300 9.47591 -10.3774
59400 11.9813 -12.4061
59500 10.3054 -11.3756
59600 9.55346 -9.93013
59700 12.0853 -11.7803
59800 12.2348 -9.78804
59900 9.33427 -9.59632
60000 11.2755 -13.519
60100 10.8823 -10.6439
60200 10.5105 -9.05289
60300 12.9317 -12.396
60400 10.3386 -10.3653
60500 9.36714 -10.2366
60600 12.7897 -12.7936
60700 10.8443 -11.6586
60800 9.90899 -9.91367
60900 12.0736 -11.9143
61000 10.4834 -9.04518
61100 10.3875 -11.1373
61200 12.9367 -12.9954
61300 8.30102 -9.85836
61400 11.0829 -9.71094
61500 12.5961 -13.2046
61600 10.538 -9.68484
61700 9.35693 -9.48382
61800 13.4939 -11.6149
61900 9.57896 -12.042
62000 9.87287 -10.1247
62100 12.1685 -13.3245
62200 11.7375 -8.09463
62300 9.27914 -10.4698
62400 14.5967 -13.2239
62500 7.07117 -11.159
62600 10.7178 -8.78485
62700 13.8139 -14.7753
62800 10.7487 -8.80596
62900 8.2077 -10.837
63000 15.0113 -11.5752
63100 8.19539 -10.3334
63200 11.2173 -9.76889
63300 11.5913 -14.902
63400 10.3944 -7.71462
63500 9.79857 -10.3491
63600 14.8008 -12.5137
63700 8.46872 -10.5412
63800 10.5411 -9.04288
63900 12.5039 -14.6609
64000 9.59659 -8.95416
64100 10.499 -12.3348
64200 14.1425 -11.3335
64300 8.41965 -8.96056
64400 12.2161 -11.4431
64500 11.052 -14.2296
64600 9.4766 -8.0738
64700 11.6736 -12.249
64800 13.6771 -10.6183
64900 8.65046 -9.35288
65000 10.7255 -12.2878
65100 12.7022 -11.4837
65200 9.13224 -9.18129
65300 11.5597 -11.8371
65400 10.9725 -11.7807
65500 9.89443 -8.95068
65600 11.4642 -12.8614
65700 12.5994 -11.1876
65800 8.41082 -9.9612
65900 11.869 -11.2484
66000 12.0732 -12.8822
66100 9.82259 -8.54455
66200 10.6995 -11.761
66300 13.8473 -10.9339
66400 8.661 -9.80061
66500 10.428 -11.3233
66600 11.6089 -12.6689
66700 10.973 -8.59385
66800 11.2773 -11.1624
66900 12.483 -11.7479
67000 8.05564 -10.3163
67100 9.22033 -10.9363
67200 13.5232 -13.1581
67300 9.95278 -8.85324
67400 10.337 -10.2579
67500 13.5007 -12.443
67600 8.80187 -9.72802
67700 11.0467 -11.4649
67800 12.8055 -13.0926
67900 9.65768 -7.3703
68000 11.347 -11.0238
68100 12.5655 -12.8779
68200 7.94332 -10.176
