# Time-averaged data for fix at1
# TimeStep v_pos
114700 30.4223
114800 30.4228
114900 30.4233
115000 30.4238
115100 30.4243
115200 30.4248
115300 30.4253
115400 30.4258
115500 30.4263
115600 30.4268
115700 30.4273
115800 30.4278
115900 30.4283
116000 30.4288
116100 30.4293
116200 30.4298
116300 30.4303
116400 30.4308
116500 30.4313
116600 30.4318
116700 30.4323
116800 30.4328
116900 30.4333
117000 30.4338
117100 30.4343
117200 30.4348
117300 30.4353
117400 30.4358
117500 30.4363
117600 30.4368
117700 30.4373
117800 30.4378
117900 30.4383
118000 30.4388
118100 30.4393
118200 30.4398
118300 30.4403
118400 30.4408
118500 30.4413
118600 30.4418
118700 30.4423
118800 30.4428
118900 30.4433
119000 30.4438
119100 30.4443
119200 30.4448
119300 30.4453
119400 30.4458
119500 30.4463
119600 30.4468
119700 30.4473
119800 30.4478
119900 30.4483
120000 30.4488
120100 30.4493
120200 30.4498
120300 30.4503
120400 30.4508
120500 30.4513
120600 30.4518
120700 30.4523
120800 30.4528
120900 30.4533
121000 30.4538
121100 30.4543
121200 30.4548
121300 30.4553
121400 30.4558
121500 30.4563
121600 30.4568
121700 30.4573
121800 30.4578
121900 30.4583
122000 30.4588
122100 30.4593
122200 30.4598
122300 30.4603
122400 30.4608
122500 30.4613
122600 30.4618
122700 30.4623
122800 30.4628
122900 30.4633
123000 30.4638
123100 30.4643
123200 30.4648
123300 30.4653
123400 30.4658
123500 30.4663
123600 30.4668
123700 30.4673
123800 30.4678
123900 30.4683
124000 30.4688
124100 30.4693
124200 30.4698
124300 30.4703
124400 30.4708
124500 30.4713
124600 30.4718
124700 30.4723
124800 30.4728
124900 30.4733
125000 30.4738
125100 30.4743
125200 30.4748
125300 30.4753
125400 30.4758
125500 30.4763
125600 30.4768
125700 30.4773
125800 30.4778
125900 30.4783
126000 30.4788
126100 30.4793
126200 30.4798
126300 30.4803
126400 30.4808
126500 30.4813
126600 30.4818
126700 30.4823
126800 30.4828
126900 30.4833
127000 30.4838
127100 30.4843
127200 30.4848
127300 30.4853
127400 30.4858
127500 30.4863
127600 30.4868
127700 30.4873
127800 30.4878
127900 30.4883
128000 30.4888
128100 30.4893
128200 30.4898
128300 30.4903
128400 30.4908
128500 30.4913
128600 30.4918
128700 30.4923
128800 30.4928
128900 30.4933
129000 30.4938
129100 30.4943
129200 30.4948
129300 30.4953
129400 30.4958
129500 30.4963
129600 30.4968
129700 30.4973
129800 30.4978
129900 30.4983
130000 30.4988
130100 30.4993
130200 30.4998
130300 30.5003
130400 30.5008
130500 30.5013
130600 30.5018
130700 30.5023
130800 30.5028
130900 30.5033
131000 30.5038
131100 30.5043
131200 30.5048
131300 30.5053
131400 30.5058
131500 30.5063
131600 30.5068
131700 30.5073
131800 30.5078
131900 30.5083
132000 30.5088
132100 30.5093
132200 30.5098
132300 30.5103
132400 30.5108
132500 30.5113
132600 30.5118
132700 30.5123
132800 30.5128
132900 30.5133
133000 30.5138
133100 30.5143
133200 30.5148
133300 30.5153
133400 30.5158
133500 30.5163
133600 30.5168
133700 30.5173
133800 30.5178
133900 30.5183
134000 30.5188
134100 30.5193
134200 30.5198
134300 30.5203
134400 30.5208
134500 30.5213
134600 30.5218
134700 30.5223
134800 30.5228
134900 30.5233
135000 30.5238
135100 30.5243
135200 30.5248
135300 30.5253
135400 30.5258
135500 30.5263
135600 30.5268
135700 30.5273
135800 30.5278
135900 30.5283
136000 30.5288
136100 30.5293
136200 30.5298
136300 30.5303
136400 30.5308
136500 30.5313
136600 30.5318
136700 30.5323
136800 30.5328
136900 30.5333
137000 30.5338
137100 30.5343
137200 30.5348
137300 30.5353
137400 30.5358
137500 30.5363
137600 30.5368
137700 30.5373
137800 30.5378
137900 30.5383
138000 30.5388
138100 30.5393
138200 30.5398
138300 30.5403
138400 30.5408
138500 30.5413
138600 30.5418
138700 30.5423
138800 30.5428
138900 30.5433
139000 30.5438
139100 30.5443
139200 30.5448
139300 30.5453
139400 30.5458
139500 30.5463
139600 30.5468
139700 30.5473
139800 30.5478
139900 30.5483
140000 30.5488
140100 30.5493
140200 30.5498
140300 30.5503
140400 30.5508
140500 30.5513
140600 30.5518
140700 30.5523
140800 30.5528
140900 30.5533
141000 30.5538
141100 30.5543
141200 30.5548
141300 30.5553
141400 30.5558
141500 30.5563
141600 30.5568
141700 30.5573
141800 30.5578
141900 30.5583
142000 30.5588
142100 30.5593
142200 30.5598
142300 30.5603
142400 30.5608
142500 30.5613
142600 30.5618
142700 30.5623
142800 30.5628
142900 30.5633
143000 30.5638
143100 30.5643
143200 30.5648
143300 30.5653
143400 30.5658
143500 30.5663
143600 30.5668
143700 30.5673
143800 30.5678
143900 30.5683
144000 30.5688
144100 30.5693
144200 30.5698
144300 30.5703
144400 30.5708
144500 30.5713
144600 30.5718
144700 30.5723
144800 30.5728
144900 30.5733
145000 30.5738
145100 30.5743
145200 30.5748
145300 30.5753
145400 30.5758
145500 30.5763
145600 30.5768
145700 30.5773
145800 30.5778
145900 30.5783
146000 30.5788
146100 30.5793
146200 30.5798
146300 30.5803
146400 30.5808
146500 30.5813
146600 30.5818
146700 30.5823
146800 30.5828
146900 30.5833
147000 30.5838
147100 30.5843
147200 30.5848
147300 30.5853
147400 30.5858
147500 30.5863
147600 30.5868
147700 30.5873
147800 30.5878
147900 30.5883
148000 30.5888
148100 30.5893
148200 30.5898
148300 30.5903
148400 30.5908
